Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
LAC,LAC @ MIL,03/28/2019,,L,240,118,42,92,45.7,17,33,51.5,17,22,77.3,8,38,46,26,7,3,11,21
DAL,DAL @ MIA,03/28/2019,,L,240,99,36,92,39.1,16,47,34.0,11,17,64.7,10,40,50,26,4,2,13,21
MIA,MIA vs. DAL,03/28/2019,,W,240,105,39,89,43.8,7,30,23.3,20,27,74.1,10,45,55,24,7,4,11,22
DET,DET vs. ORL,03/28/2019,,W,240,115,46,86,53.5,17,35,48.6,6,12,50.0,10,33,43,25,8,9,12,18
ORL,ORL @ DET,03/28/2019,,L,240,98,37,94,39.4,8,31,25.8,16,20,80.0,15,28,43,21,5,4,12,14
HOU,HOU vs. DEN,03/28/2019,,W,240,112,40,87,46.0,15,40,37.5,17,20,85.0,11,35,46,22,8,3,10,19
DEN,DEN @ HOU,03/28/2019,,L,240,85,31,84,36.9,4,24,16.7,19,20,95.0,7,31,38,22,7,3,15,17
TOR,TOR @ NYK,03/28/2019,,W,240,117,40,89,44.9,20,47,42.6,17,22,77.3,6,38,44,32,8,6,9,28
NYK,NYK vs. TOR,03/28/2019,,L,240,92,31,85,36.5,6,26,23.1,24,32,75.0,14,40,54,16,3,5,17,22
SAS,SAS vs. CLE,03/28/2019,,W,240,116,45,85,52.9,14,33,42.4,12,17,70.6,4,29,33,27,8,6,11,14
CLE,CLE @ SAS,03/28/2019,,L,240,110,45,92,48.9,12,29,41.4,8,10,80.0,14,35,49,18,6,1,14,20
BKN,BKN @ PHI,03/28/2019,,L,240,110,40,90,44.4,11,32,34.4,19,29,65.5,11,34,45,25,4,3,15,22
PHI,PHI vs. BKN,03/28/2019,,W,240,123,45,90,50.0,12,25,48.0,21,28,75.0,9,36,45,27,10,3,10,23
OKC,OKC vs. IND,03/27/2019,,W,240,107,41,92,44.6,13,36,36.1,12,19,63.2,9,35,44,29,7,7,7,14
IND,IND @ OKC,03/27/2019,,L,240,99,40,92,43.5,13,31,41.9,6,11,54.5,8,37,45,26,4,6,12,17
MEM,MEM vs. GSW,03/27/2019,,L,240,103,39,100,39.0,10,31,32.3,15,21,71.4,19,32,51,22,11,5,10,16
GSW,GSW @ MEM,03/27/2019,,W,240,118,45,84,53.6,15,31,48.4,13,15,86.7,6,40,46,30,9,7,14,19
LAL,LAL @ UTA,03/27/2019,,L,240,100,37,97,38.1,9,27,33.3,17,24,70.8,8,32,40,21,9,5,6,23
UTA,UTA vs. LAL,03/27/2019,,W,240,115,41,83,49.4,10,32,31.3,23,36,63.9,8,46,54,33,4,5,11,18
PHX,PHX vs. WAS,03/27/2019,,L,240,121,43,87,49.4,14,37,37.8,21,26,80.8,11,37,48,22,9,7,15,28
WAS,WAS @ PHX,03/27/2019,,W,240,124,43,90,47.8,9,25,36.0,29,43,67.4,15,37,52,18,10,3,10,20
CHI,CHI vs. POR,03/27/2019,,L,240,98,39,91,42.9,5,23,21.7,15,19,78.9,16,28,44,22,4,0,10,19
POR,POR @ CHI,03/27/2019,,W,240,118,43,83,51.8,11,32,34.4,21,25,84.0,9,36,45,30,4,3,8,16
NOP,NOP vs. ATL,03/26/2019,,L,240,120,39,83,47.0,12,34,35.3,30,40,75.0,8,37,45,28,10,6,24,23
ATL,ATL @ NOP,03/26/2019,,W,240,130,44,97,45.4,19,51,37.3,23,26,88.5,9,32,41,30,13,4,16,26
TOR,TOR vs. CHI,03/26/2019,,W,240,112,42,86,48.8,12,28,42.9,16,16,100,2,37,39,28,13,7,15,16
CHI,CHI @ TOR,03/26/2019,,L,240,103,39,86,45.3,8,23,34.8,17,20,85.0,7,38,45,20,12,2,18,16
CHA,CHA vs. SAS,03/26/2019,,W,265,125,46,100,46.0,13,42,31.0,20,28,71.4,5,40,45,30,9,5,6,18
SAS,SAS @ CHA,03/26/2019,,L,265,116,44,108,40.7,13,39,33.3,15,21,71.4,17,43,60,24,4,5,13,21
LAC,LAC @ MIN,03/26/2019,,W,240,122,46,85,54.1,16,32,50.0,14,14,100,3,48,51,30,8,4,18,26
MIN,MIN vs. LAC,03/26/2019,,L,240,111,41,94,43.6,9,27,33.3,20,33,60.6,10,33,43,22,13,1,10,18
DET,DET @ DEN,03/26/2019,,L,240,92,36,102,35.3,11,42,26.2,9,13,69.2,17,39,56,19,5,2,6,21
DEN,DEN vs. DET,03/26/2019,,W,240,95,37,87,42.5,7,27,25.9,14,20,70.0,11,45,56,22,3,2,14,19
